NEWID,REFMO,REFYR,UCC,PUBFLAG,VALUE,VALUE_
05286374,10,2023,980071,2,6544.8333,
05286374,10,2023,980090,1,8.3333,
05286374,10,2023,980210,2,8.3333,
05286374,10,2023,980240,2,8.3333,
05286374,10,2023,980281,2,8.3333,
05286374,10,2023,980286,2,8.3333,
05286374,10,2023,980300,2,8.3333,
05286374,10,2023,980330,2,8.3333,
05286374,10,2023,980350,2,8.3333,
05286374,11,2023,800940,2,395.2500,
05286374,11,2023,900000,2,5166.6667,
05286374,11,2023,900030,2,1310.6667,
05286374,11,2023,900170,2,833.3333,
05286374,11,2023,950004,2,532.4167,
05286374,11,2023,950014,2,233.4167,
05286374,11,2023,980000,2,7310.6667,
05286374,11,2023,980010,2,0.1667,
05286374,11,2023,980020,2,5.5000,
05286374,11,2023,980030,2,0.0833,
05286374,11,2023,980040,2,0.0833,
05286374,11,2023,980060,2,0.1667,
05286374,11,2023,980071,2,6544.8333,
05286374,11,2023,980090,1,8.3333,
05286374,11,2023,980210,2,8.3333,
05286374,11,2023,980240,2,8.3333,
05286374,11,2023,980281,2,8.3333,
05286374,11,2023,980286,2,8.3333,
05286374,11,2023,980300,2,8.3333,
05286374,11,2023,980330,2,8.3333,
05286374,11,2023,980350,2,8.3333,
05286374,12,2023,800940,2,395.2500,
05286374,12,2023,900000,2,5166.6667,
05286374,12,2023,900030,2,1310.6667,
05286374,12,2023,900170,2,833.3333,
05286374,12,2023,950004,2,532.4167,
05286374,12,2023,950014,2,233.4167,
05286374,12,2023,980000,2,7310.6667,
05286374,12,2023,980010,2,0.1667,
05286374,12,2023,980020,2,5.5000,
05286374,12,2023,980030,2,0.0833,
05286374,12,2023,980040,2,0.0833,
05286374,12,2023,980060,2,0.1667,
05286374,12,2023,980071,2,6544.8333,
05286374,12,2023,980090,1,8.3333,
05286374,12,2023,980210,2,8.3333,
05286374,12,2023,980240,2,8.3333,
05286374,12,2023,980281,2,8.3333,
05286374,12,2023,980286,2,8.3333,
05286374,12,2023,980300,2,8.3333,
05286374,12,2023,980330,2,8.3333,
05286374,12,2023,980350,2,8.3333,
05286424,10,2023,005100,2,1000.0000,
05286424,10,2023,005110,2,1000.0000,
05286424,10,2023,005200,2,66666.6667,
05286424,10,2023,005210,2,65833.3333,
05286424,10,2023,005800,2,66666.6667,
05286424,10,2023,005810,2,71250.0000,
05286424,10,2023,900030,2,3751.3333,
05286424,10,2023,900170,2,4531.0000,
05286424,10,2023,900180,2,7.4333,
05286424,10,2023,950004,2,563.5833,
05286424,10,2023,950014,2,158.5833,
05286424,10,2023,980000,2,8289.7667,
05286424,10,2023,980010,2,0.1667,
05286424,10,2023,980020,2,6.5000,
05286424,10,2023,980040,2,0.1667,
05286424,10,2023,980060,2,0.1667,
05286424,10,2023,980071,2,7567.6000,
05286424,10,2023,980090,1,8.3333,
05286424,10,2023,980210,2,8.3333,
05286424,10,2023,980240,2,8.3333,
05286424,10,2023,980270,2,8.3333,
05286424,10,2023,980286,2,8.3333,
05286424,10,2023,980310,2,8.3333,
05286424,10,2023,980330,2,8.3333,
05286424,10,2023,980350,2,8.3333,
05286424,11,2023,005100,2,1000.0000,
05286424,11,2023,005110,2,1000.0000,
05286424,11,2023,005200,2,66666.6667,
05286424,11,2023,005210,2,65833.3333,
05286424,11,2023,005800,2,66666.6667,
05286424,11,2023,005810,2,71250.0000,
05286424,11,2023,900030,2,3751.3333,
05286424,11,2023,900170,2,4531.0000,
05286424,11,2023,900180,2,7.4333,
05286424,11,2023,950004,2,563.5833,
05286424,11,2023,950014,2,158.5833,
05286424,11,2023,980000,2,8289.7667,
05286424,11,2023,980010,2,0.1667,
05286424,11,2023,980020,2,6.5000,
05286424,11,2023,980040,2,0.1667,
05286424,11,2023,980060,2,0.1667,
05286424,11,2023,980071,2,7567.6000,
05286424,11,2023,980090,1,8.3333,
05286424,11,2023,980210,2,8.3333,
05286424,11,2023,980240,2,8.3333,
05286424,11,2023,980270,2,8.3333,
05286424,11,2023,980286,2,8.3333,
05286424,11,2023,980310,2,8.3333,
05286424,11,2023,980330,2,8.3333,
